scores,female_math_scores,female_writing_scores,female_reading_scores,male_math_scores,male_reading_scores,male_writing_scores,total_females,total_males
0 to 9,2,0,0,0,0,0,518,482
10 to 19,2,1,2,0,0,1,,
20 to 29,8,3,4,2,4,2,,
30 to 39,19,12,13,7,6,10,,
40 to 49,55,36,47,40,28,35,,
50 to 59,111,89,83,77,75,84,,
60 to 69,143,115,122,125,118,108,,
70 to 79,104,132,135,112,132,119,,
80 to 89,51,94,74,84,76,83,,
90 to 100,23,36,38,35,43,40,,
